Metric,Value
Total Intersections,208
Images per Intersection (directions),4
Total Images to Download,832
Image Size (pixels),640x640
Image FOV (degrees),90
Estimated Min Storage (GB),0.12
Estimated Max Storage (GB),0.24
Estimated Download Time (hours),0.05
Estimated Download Time (minutes),3
Time per Request (seconds),0.2
