Metric,Value
Total Intersections,411
Images per Intersection (directions),4
Total Images to Download,1644
Image Size (pixels),640x640
Image FOV (degrees),90
Estimated Min Storage (GB),0.24
Estimated Max Storage (GB),0.47
Estimated Download Time (hours),0.09
Estimated Download Time (minutes),5
Time per Request (seconds),0.2
