Metric,Value
Total Intersections,188
Images per Intersection (directions),4
Total Images to Download,752
Image Size (pixels),640x640
Image FOV (degrees),90
Estimated Min Storage (GB),0.11
Estimated Max Storage (GB),0.22
Estimated Download Time (hours),0.04
Estimated Download Time (minutes),3
Time per Request (seconds),0.2
