filename,point_id,intersection_idx,lat,lon,arm_direction,base_bearing,heading,gsv_pano_id,gsv_date
pt_000000_arm0_offset15.jpg,pt_000000,0,39.956583559140824,-75.16498905866673,0,180,195,g-VRl_q4-Yhax5YN2X2NAw,2014-06
pt_000001_arm90_offset15.jpg,pt_000001,0,39.95652707324625,-75.1649198355021,90,270,285,8oVC7GCZNokF0ljIj6wSQw,2024-10
pt_000002_arm180_offset15.jpg,pt_000002,0,39.95647380145278,-75.16499323491621,180,0,15,GofQMnIemOjjHMsO6Q83Bw,2024-10
pt_000003_arm270_offset15.jpg,pt_000003,0,39.95653028730315,-75.16506245808758,270,90,105,GofQMnIemOjjHMsO6Q83Bw,2024-10
pt_000004_arm0_offset15.jpg,pt_000004,1,39.956637759744964,-75.16549470082734,0,180,195,y4NmYNif7dbka8oz7Mg6pw,2024-10
pt_000005_arm90_offset15.jpg,pt_000005,1,39.9565812741549,-75.16542547718697,90,270,285,Fey4wYiIsbD-uVApXTbA8g,2024-10
pt_000006_arm180_offset15.jpg,pt_000006,1,39.95652800203766,-75.16549887626307,180,0,15,CAoSF0NJSE0wb2dLRUlDQWdJREtyLV9YNHdF,2021-05
pt_000007_arm270_offset15.jpg,pt_000007,1,39.95658448758352,-75.16556809991017,270,90,105,y4NmYNif7dbka8oz7Mg6pw,2024-10
pt_000008_arm0_offset15.jpg,pt_000008,2,39.95526973708192,-75.16957043168712,0,180,195,ojseNXz839Q0wg7SUPER_A,2023-03
pt_000009_arm90_offset15.jpg,pt_000009,2,39.95521325394625,-75.16950120605168,90,270,285,HmJg-T5YiarMVY_6T8Gxmg,2025-05
pt_000010_arm180_offset15.jpg,pt_000010,2,39.955159979214706,-75.16957460045282,180,0,15,dEE2Hb1Lh6buPVHAafVuog,2021-08
pt_000011_arm270_offset15.jpg,pt_000011,2,39.95521646230617,-75.16964382609503,270,90,105,vsjFl9e6FCMjIEpCrx9QaQ,2025-05
pt_000012_arm0_offset15.jpg,pt_000012,3,39.95545815003821,-75.171134172591,0,180,195,srxQWBJ-XAAw6lYjt2reAA,2025-05
pt_000013_arm90_offset15.jpg,pt_000013,3,39.95540166784431,-75.17106494546317,90,270,285,KlnHCnKrlPhc1jE6gsXZMw,2025-05
pt_000014_arm180_offset15.jpg,pt_000014,3,39.95534839211159,-75.1711383388414,180,0,15,KlnHCnKrlPhc1jE6gsXZMw,2025-05
pt_000015_arm270_offset15.jpg,pt_000015,3,39.9554048742613,-75.17120756597596,270,90,105,NQrxB7zciBYz_QdrQYkljg,2025-05
pt_000016_arm0_offset15.jpg,pt_000016,4,39.95807299203064,-75.1769772918535,0,180,195,h1bm1i7iq4x3c_3imMU_eQ,2018-11
pt_000017_arm90_offset15.jpg,pt_000017,4,39.95801651335614,-75.17690805720169,90,270,285,iz_K0npFcEe1dlc2YSvZPQ,2020-11
pt_000018_arm180_offset15.jpg,pt_000018,4,39.957963233887554,-75.17698144882205,180,0,15,zGhFpbJc21vCNHarz-Rimg,2024-10
pt_000019_arm270_offset15.jpg,pt_000019,4,39.95801971251784,-75.17705068348059,270,90,105,CAoSFkNJSE0wb2dLRUlDQWdJQ080ci1hSlE.,2022-06
pt_000020_arm0_offset15.jpg,pt_000020,5,39.958181632287456,-75.17787528731547,0,180,195,CAoSF0NJSE0wb2dLRUlDQWdJQ09zdGlxa0FF,2022-06
pt_000021_arm90_offset15.jpg,pt_000021,5,39.95812515415385,-75.17780605180619,90,270,285,CAoSFkNJSE0wb2dLRUlDQWdJQ090ZnlHUUE.,2022-06
pt_000022_arm180_offset15.jpg,pt_000022,5,39.95807187411036,-75.17787944283953,180,0,15,K87XuLmX1iM2L0kFzFjCuA,2020-11
pt_000023_arm270_offset15.jpg,pt_000023,5,39.958128352199786,-75.17794867835552,270,90,105,O2It9nzzngAWSVfDQ4gl1g,2022-04
pt_000024_arm0_offset15.jpg,pt_000024,6,39.963258239665834,-75.16783033406604,0,180,195,SGYlKvVP1rLl9gEdnZfLgg,2019-08
pt_000025_arm90_offset15.jpg,pt_000025,6,39.963201755483276,-75.16776110173518,90,270,285,CAoSFkNJSE0wb2dLRUlDQWdJQzJuT19xTUE.,2019-06
pt_000026_arm180_offset15.jpg,pt_000026,6,39.963148481887366,-75.16783450613416,180,0,15,CAoSF0NJSE0wb2dLRUlDQWdJQzJuSy1ycVFF,2019-07
pt_000027_arm270_offset15.jpg,pt_000027,6,39.96320496602574,-75.16790373847174,270,90,105,CAoSF0NJSE0wb2dLRUlDQWdJQzJuT19xc0FF,2019-06
pt_000028_arm0_offset15.jpg,pt_000028,7,39.96305589416422,-75.16625189126307,0,180,195,CAoSFkNJSE0wb2dLRUlDQWdJQ3VxdE80YkE.,2022-07
pt_000029_arm90_offset15.jpg,pt_000029,7,39.962999409031035,-75.16618266045126,90,270,285,FNY3Wn4M0ApXEpJCHkKWxA,2021-08
pt_000030_arm180_offset15.jpg,pt_000030,7,39.96294613644567,-75.16625606586966,180,0,15,CAoSFkNJSE0wb2dLRUlDQWdJRGFxZktnUlE.,2019-07
pt_000031_arm270_offset15.jpg,pt_000031,7,39.96300262153467,-75.16632529668824,270,90,105,CAoSFkNJSE0wb2dLRUlDQWdJRGF1WkRfTmc.,2019-08
pt_000032_arm0_offset15.jpg,pt_000032,8,39.96323194353191,-75.17106544058102,0,180,195,CAoSFkNJSE0wb2dLRUlDQWdJRGEyZVcwWHc.,2019-07
pt_000033_arm90_offset15.jpg,pt_000033,8,39.96317546129765,-75.17099620558645,90,270,285,7wJFJ53ddkGx9VhjwX-AOg,2025-05
pt_000034_arm180_offset15.jpg,pt_000034,8,39.963122185629416,-75.17106960741931,180,0,15,aNNCdBumTiwai5p4vJQZmA,2025-05
pt_000035_arm270_offset15.jpg,pt_000035,8,39.96317866781948,-75.1711388424206,270,90,105,CAoSF0NJSE0wb2dLRUlDQWdJRGE2YWlvaUFF,2019-07
pt_000036_arm0_offset15.jpg,pt_000036,9,39.96285711761862,-75.16468335093836,0,180,195,CAoSF0NJSE0wb2dLRUlDQWdJQ3VxcE96a3dF,2022-07
pt_000037_arm90_offset15.jpg,pt_000037,9,39.962800631540816,-75.16461412163368,90,270,285,CAoSFkNJSE0wb2dLRUlDQWdJRGFxZW1YUHc.,2019-06
